from_td;to_td;h6;h7;h8;h9
16;32;2;6;6;14
16;38;24;42;48;24
17;4;12;36;45;8
17;5;312;344;294;592
17;6;49;90;90;78
17;7;20;44;200;152
17;10;14;30;162;104
17;14;42;248;70;189
17;16;192;318;360;230
17;18;36;140;46;102
17;20;6;6;9;14
17;22;5;8;21;8
17;23;144;105;160;120
17;25;114;294;240;180
17;28;152;168;96;324
17;29;5;10;21;16
17;38;8;6;12;8
18;3;8;12;24;4
18;4;84;182;150;161
18;5;1128;1656;2820;3213
18;6;198;438;415;252
18;7;150;220;1125;380
18;10;204;225;595;195
18;11;10;28;40;8
18;14;528;435;1485;250
18;15;8;10;6;6
18;16;444;1952;1946;1899
18;17;14;20;45;36
18;20;15;21;24;24
18;22;12;63;64;24
18;23;624;344;585;1036
18;24;6;20;30;36
18;25;270;1386;2025;1197
18;27;6;16;15;4
18;28;546;1800;1140;1557
18;29;21;21;64;42
18;32;4;6;6;14
18;38;24;45;70;64
19;3;6;6;15;4
19;4;20;77;91;70
19;5;420;925;630;1280
19;6;60;132;228;116
19;7;66;336;440;378
19;10;90;264;266;232
19;11;9;18;21;6
19;14;240;594;150;285
19;16;468;570;1040;495
19;17;4;14;9;8
19;18;114;378;384;324
19;20;4;14;18;18
19;22;8;8;9;12
19;23;315;154;528;134
19;24;3;8;12;16
19;25;80;176;200;152
19;27;6;10;15;12
19;28;205;540;824;546
19;29;9;12;15;18
19;32;2;12;18;14
19;38;6;12;40;32
20;3;3;18;6;6
20;4;72;162;60;30
20;5;1188;580;660;502
20;6;138;459;174;88
20;7;70;693;440;469
20;10;120;265;240;184
20;11;12;8;10;24
20;14;276;909;690;174
20;15;5;16;15;4
20;16;158;348;1386;600
20;17;4;16;18;10
20;18;232;512;292;220
20;22;6;24;20;12
20;23;220;363;1242;840
20;24;12;32;30;32
20;25;189;417;316;480
20;27;9;12;9;14
20;28;455;1287;326;372
20;29;4;36;45;8
20;32;5;4;6;8
20;38;15;21;40;30
21;4;24;63;40;56
21;5;414;912;1038;786
21;6;48;130;210;184
21;7;102;333;344;64
21;10;84;78;180;46
21;11;7;12;18;10
21;14;184;306;116;88
21;16;190;168;285;504
21;17;6;14;27;6
21;18;126;186;105;162
21;20;9;14;27;14
21;22;6;6;6;18
21;23;87;256;657;440
21;24;6;12;27;4
