from_td;to_td;h6;h7;h8;h9
17;6;7;15;18;13
17;7;10;22;25;19
17;10;7;15;18;13
17;14;14;31;35;27
17;16;24;53;60;46
17;18;9;20;23;17
17;20;1;2;3;2
17;22;1;2;3;2
17;23;16;35;40;30
17;25;19;42;48;36
17;28;19;42;48;36
17;29;1;2;3;2
17;38;1;2;3;2
18;3;1;2;3;2
18;4;12;26;30;23
18;5;188;414;470;357
18;6;33;73;83;63
18;7;50;110;125;95
18;10;34;75;85;65
18;11;2;4;5;4
18;14;66;145;165;125
18;15;1;2;3;2
18;16;111;244;278;211
18;17;2;4;5;4
18;20;3;7;8;6
18;22;3;7;8;6
18;23;78;172;195;148
18;24;2;4;5;4
18;25;90;198;225;171
18;27;1;2;3;2
18;28;91;200;228;173
18;29;3;7;8;6
18;32;1;2;3;2
18;38;4;9;10;8
19;3;1;2;3;2
19;4;5;11;13;10
19;5;84;185;210;160
19;6;15;33;38;29
19;7;22;48;55;42
19;10;15;33;38;29
19;11;1;2;3;2
19;14;30;66;75;57
19;16;52;114;130;99
19;17;1;2;3;2
19;18;19;42;48;36
19;20;1;2;3;2
19;22;1;2;3;2
19;23;35;77;88;67
19;24;1;2;3;2
19;25;40;88;100;76
19;27;1;2;3;2
19;28;41;90;103;78
19;29;1;2;3;2
19;32;1;2;3;2
19;38;2;4;5;4
20;3;1;2;3;2
20;4;8;18;20;15
20;5;132;290;330;251
20;6;23;51;58;44
20;7;35;77;88;67
20;10;24;53;60;46
20;11;2;4;5;4
20;14;46;101;115;87
20;15;1;2;3;2
20;16;79;174;198;150
20;17;1;2;3;2
20;18;29;64;73;55
20;22;2;4;5;4
20;23;55;121;138;105
20;24;2;4;5;4
20;25;63;139;158;120
20;27;1;2;3;2
20;28;65;143;163;124
20;29;2;4;5;4
20;32;1;2;3;2
20;38;3;7;8;6
21;4;4;9;10;8
21;5;69;152;173;131
21;6;12;26;30;23
21;7;17;37;43;32
21;10;12;26;30;23
21;11;1;2;3;2
21;14;23;51;58;44
21;16;38;84;95;72
21;17;1;2;3;2
21;18;14;31;35;27
21;20;1;2;3;2
21;22;1;2;3;2
21;23;29;64;73;55
21;24;1;2;3;2
21;25;32;70;80;61
21;27;1;2;3;2
21;28;32;70;80;61
21;29;1;2;3;2
21;38;1;2;3;2
22;4;5;11;13;10
22;5;72;158;180;137
22;6;12;26;30;23
22;7;18;40;45;34
22;10;13;29;33;25
22;11;1;2;3;2
22;14;24;53;60;46
22;16;39;86;98;74
22;17;1;2;3;2
22;18;15;33;38;29
22;20;1;2;3;2
22;23;30;66;75;57
22;24;1;2;3;2
22;25;34;75;85;65
22;27;1;2;3;2
22;28;33;73;83;63
22;29;1;2;3;2
22;38;1;2;3;2
23;3;1;2;3;2
23;4;6;13;15;11
23;5;94;207;235;179
23;6;16;35;40;30
23;7;23;51;58;44
23;10;17;37;43;32
23;11;1;2;3;2
23;14;31;68;78;59
23;16;52;114;130;99
23;17;1;2;3;2
23;18;19;42;48;36
23;20;1;2;3;2
23;22;2;4;5;4
23;24;1;2;3;2
23;25;44;97;110;84
23;27;1;2;3;2
23;28;43;95;108;82
23;29;1;2;3;2
23;32;1;2;3;2
23;38;2;4;5;4
24;4;4;9;10;8
24;5;65;143;163;124
24;6;11;24;28;21
24;7;16;35;40;30
24;10;11;24;28;21
24;11;1;2;3;2
24;14;22;48;55;42
24;16;36;79;90;68
24;17;1;2;3;2
24;18;14;31;35;27
24;20;1;2;3;2
24;22;1;2;3;2
24;23;27;59;68;51
24;25;31;68;78;59
24;27;1;2;3;2
24;28;30;66;75;57
24;29;1;2;3;2
24;38;1;2;3;2
25;3;1;2;3;2
25;4;10;22;25;19
25;5;157;345;393;298
25;6;27;59;68;51
25;7;41;90;103;78
25;10;28;62;70;53
25;11;2;4;5;4
25;14;54;119;135;103
25;15;1;2;3;2
25;16;90;198;225;171
25;17;1;2;3;2
